,ID,Name,Age,Photo,Nationality
4934,211504,L. Baker,23,https://cdn.sofifa.org/players/4/19/211504.png,England
4935,235312,Alfonso Herrero,24,https://cdn.sofifa.org/players/4/19/235312.png,Spain
4936,206129,A. Măţel,28,https://cdn.sofifa.org/players/4/19/206129.png,Romania
4937,231985,K. Rosenberry,24,https://cdn.sofifa.org/players/4/19/231985.png,United States
4938,192561,L. Thy,26,https://cdn.sofifa.org/players/4/19/192561.png,Germany
4939,212018,Koo Ja Ryong,26,https://cdn.sofifa.org/players/4/19/212018.png,Korea Republic
4940,229682,D. Fry,20,https://cdn.sofifa.org/players/4/19/229682.png,England
4941,172850,R. Leeuwin,30,https://cdn.sofifa.org/players/4/19/172850.png,Netherlands
4942,214835,R. Fernández,27,https://cdn.sofifa.org/players/4/19/214835.png,Chile
4943,216371,A. Timofeev,24,https://cdn.sofifa.org/players/4/19/216371.png,Russia
4944,229683,Rodrigo Pinho,27,https://cdn.sofifa.org/players/4/19/229683.png,Brazil
4945,246067,H. Vaca,20,https://cdn.sofifa.org/players/4/19/246067.png,Bolivia
4946,230708,J. Worrall,21,https://cdn.sofifa.org/players/4/19/230708.png,England
4947,176692,A. El Jadeyaoui,31,https://cdn.sofifa.org/players/4/19/176692.png,Morocco
4948,208437,M. Eriksson,28,https://cdn.sofifa.org/players/4/19/208437.png,Sweden
4949,244021,Y. Kalfa,25,https://cdn.sofifa.org/players/4/19/244021.png,Syria
4950,214326,C. Vilches,34,https://cdn.sofifa.org/players/4/19/214326.png,Chile
4951,222262,C. Dessers,23,https://cdn.sofifa.org/players/4/19/222262.png,Belgium
4952,223030,A. Kara,25,https://cdn.sofifa.org/players/4/19/223030.png,Turkey
4953,226102,C. Dunkley,26,https://cdn.sofifa.org/players/4/19/226102.png,England
4954,239414,F. Deli,23,https://cdn.sofifa.org/players/4/19/239414.png,Italy
4955,239670,Jefferson Santos,25,https://cdn.sofifa.org/players/4/19/239670.png,Brazil
4956,212791,Kim Seung Dae,27,https://cdn.sofifa.org/players/4/19/212791.png,Korea Republic
4957,171831,M. Mancienne,30,https://cdn.sofifa.org/players/4/19/171831.png,England
4958,178487,C. Gardner,31,https://cdn.sofifa.org/players/4/19/178487.png,England
