region,desempenho,cenario
1,893,1000
2,928,1000
3,939,1000
4,932,1000
5,948,1000
1,6677,10000
2,7304,10000
3,7615,10000
4,7489,10000
5,7482,10000
1,20614,100000
2,30693,100000
3,32633,100000
4,32840,100000
5,36408,100000
1,26711,1000000
2,41690,1000000
3,57068,1000000
4,47730,1000000
5,50320,1000000
