region,desempenho,cenario
1,1130,1000
2,1084,1000
3,1068,1000
4,1077,1000
5,1057,1000
1,1505,10000
2,1374,10000
3,1319,10000
4,1347,10000
5,1347,10000
1,4856,100000
2,3265,100000
3,3113,100000
4,3141,100000
5,2747,100000
1,37513,1000000
2,24030,1000000
3,21250,1000000
4,20956,1000000
5,19912,1000000
