region,desempenho,cenario
1,13639,1000
2,8452,1000
3,8080,1000
4,8348,1000
5,7904,1000
1,69846,10000
2,68835,10000
3,68238,10000
4,68627,10000
5,68450,10000
1,664006,100000
2,665860,100000
3,666578,100000
4,666358,100000
5,664752,100000
1,6851496,1000000
2,6837520,1000000
3,6848118,1000000
4,6841485,1000000
5,6857863,1000000
