region,desempenho,cenario
1,971,1000
2,957,1000
3,954,1000
4,944,1000
5,939,1000
1,1265,10000
2,1174,10000
3,1121,10000
4,1121,10000
5,1130,10000
1,3523,100000
2,2647,100000
3,2563,100000
4,2501,100000
5,2503,100000
1,25526,1000000
2,17337,1000000
3,15715,1000000
4,15619,1000000
5,15513,1000000
