threads,desempenho,cenario
1,2438,"Cenário 1"
2,4824,"Cenário 1"
4,8182,"Cenário 1"
8,12070,"Cenário 1"
16,15028,"Cenário 1"
32,15222,"Cenário 1"
64,15479,"Cenário 1"
128,15034,"Cenário 1"
256,0,"Cenário 1"
512,0,"Cenário 1"
1,1895,"Cenário 2"
2,3604,"Cenário 2"
4,7183,"Cenário 2"
8,15432,"Cenário 2"
16,19449,"Cenário 2"
32,20590,"Cenário 2"
64,21383,"Cenário 2"
128,22906,"Cenário 2"
256,20845,"Cenário 2"
512,19821,"Cenário 2"
1,0,"Cenário 3"
2,0,"Cenário 3"
4,0,"Cenário 3"
8,0,"Cenário 3"
16,0,"Cenário 3"
32,0,"Cenário 3"
64,32222,"Cenário 3"
128,32494,"Cenário 3"
256,32333,"Cenário 3"
512,30758,"Cenário 3"
1,0,"Cenário 4"
2,0,"Cenário 4"
4,0,"Cenário 4"
8,0,"Cenário 4"
16,0,"Cenário 4"
32,0,"Cenário 4"
64,30284,"Cenário 4"
128,30845,"Cenário 4"
256,30098,"Cenário 4"
512,27643,"Cenário 4"
1,0,"Cenário 5"
2,0,"Cenário 5"
4,0,"Cenário 5"
8,0,"Cenário 5"
16,0,"Cenário 5"
32,0,"Cenário 5"
64,41400,"Cenário 5"
128,42199,"Cenário 5"
256,42038,"Cenário 5"
512,37603,"Cenário 5"
