threads,desempenho,cenario
1,41120,"Cenário 1"
2,20729,"Cenário 1"
4,12238,"Cenário 1"
8,9240,"Cenário 1"
16,6654,"Cenário 1"
32,6580,"Cenário 1"
64,6463,"Cenário 1"
128,6657,"Cenário 1"
256,0,"Cenário 1"
512,0,"Cenário 1"
1,52784,"Cenário 2"
2,27763,"Cenário 2"
4,13951,"Cenário 2"
8,6481,"Cenário 2"
16,5143,"Cenário 2"
32,4858,"Cenário 2"
64,4680,"Cenário 2"
128,4373,"Cenário 2"
256,4799,"Cenário 2"
512,5048,"Cenário 2"
1,0,"Cenário 3"
2,0,"Cenário 3"
4,0,"Cenário 3"
8,0,"Cenário 3"
16,0,"Cenário 3"
32,0,"Cenário 3"
64,3159,"Cenário 3"
128,3116,"Cenário 3"
256,3103,"Cenário 3"
512,3258,"Cenário 3"
1,0,"Cenário 4"
2,0,"Cenário 4"
4,0,"Cenário 4"
8,0,"Cenário 4"
16,0,"Cenário 4"
32,0,"Cenário 4"
64,3307,"Cenário 4"
128,3242,"Cenário 4"
256,3324,"Cenário 4"
512,3618,"Cenário 4"
1,0,"Cenário 5"
2,0,"Cenário 5"
4,0,"Cenário 5"
8,0,"Cenário 5"
16,0,"Cenário 5"
32,0,"Cenário 5"
64,2439,"Cenário 5"
128,2379,"Cenário 5"
256,2395,"Cenário 5"
512,2694,"Cenário 5"
