region,desempenho,cenario
1,1107,1000
2,1041,1000
3,1030,1000
4,1032,1000
5,1029,1000
1,1671,10000
2,1408,10000
3,1404,10000
4,1364,10000
5,1361,10000
1,6210,100000
2,4070,100000
3,3521,100000
4,3336,100000
5,3249,100000
1,52490,1000000
2,30939,1000000
3,25358,1000000
4,22707,1000000
5,21697,1000000
