region,desempenho,cenario
1,73,1000
2,118,1000
3,124,1000
4,120,1000
5,127,1000
1,143,10000
2,145,10000
3,147,10000
4,146,10000
5,146,10000
1,151,100000
2,150,100000
3,150,100000
4,150,100000
5,150,100000
1,146,1000000
2,146,1000000
3,146,1000000
4,146,1000000
5,146,1000000
