region,desempenho,cenario
1,905,1000
2,961,1000
3,971,1000
4,970,1000
5,972,1000
1,5986,10000
2,7106,10000
3,7126,10000
4,7330,10000
5,7350,10000
1,16105,100000
2,24569,100000
3,28405,100000
4,29985,100000
5,30781,100000
1,19082,1000000
2,32450,1000000
3,39452,1000000
4,44057,1000000
5,46134,1000000
